Epic,StoryID,StoryTitle,Description,AcceptanceCriteria,Priority,Dependencies,SourceSheet,SourceRow
Shopper-WebApp,WEB-01,Base web/app shell & SDK config,"Set up shared layout, static pages, and configure FCM, Google Analytics, fast-shipping SDK, and Payoo hooks for buyer channels. [Source: Phụ_Lục_01 r11 cITEM][Source: Phụ_Lục_01 r13 cITEM][Source: Phụ_Lục_01 r15 cITEM][Source: Phụ_Lục_01 r16 cDESCRIPTION]","Layout renders on web+app; SDK keys are configurable per environment; GA/FCM events fire on page load; Payoo sandbox reachable.",High,,Phụ_Lục_01,"11|13|15|16"
Shopper-WebApp,WEB-02,Buyer authentication,"Implement login, registration, OTP verification, and password reset flows for web/app. [Source: Phụ_Lục_01 r19 cDESCRIPTION][Source: Phụ_Lục_01 r20 cDESCRIPTION][Source: Phụ_Lục_01 r21 cDESCRIPTION][Source: Phụ_Lục_01 r22 cITEM]","Users can sign up only after OTP validation; login rejects bad credentials; password reset email/OTP completes end-to-end.",High,WEB-01,Phụ_Lục_01,"19|20|21|22"
Shopper-WebApp,WEB-03,Home page & navigation,"Build homepage with category navigation, banners, menu, featured/promo products, and footer. [Source: Phụ_Lục_01 r24 cDESCRIPTION][Source: Phụ_Lục_01 r25 cITEM][Source: Phụ_Lục_01 r27 cITEM][Source: Phụ_Lục_01 r28 cITEM]","Homepage shows categories and featured promos; banner links click through; menu/footer links reachable.",Medium,WEB-01,Phụ_Lục_01,"24|25|27|28"
Shopper-WebApp,WEB-04,Profile & notifications,"Allow customers to view/update profile (not phone) and view notifications by type. [Source: Phụ_Lục_01 r30 cDESCRIPTION][Source: Phụ_Lục_01 r31 cDESCRIPTION]","Profile updates persist except phone; notifications tab filters promotions/orders/system.",High,WEB-02,Phụ_Lục_01,"30|31"
Shopper-WebApp,WEB-05,Order history + actions,"Provide order list by status, detail view, cancel (Đang xử lý), confirm receipt, reorder past orders. [Source: Phụ_Lục_01 r32 cDESCRIPTION][Source: Phụ_Lục_01 r33 cDESCRIPTION][Source: Phụ_Lục_01 r34 cDESCRIPTION][Source: Phụ_Lục_01 r36 cDESCRIPTION]","Order list segmented by statuses; cancel unavailable when status != Đang xử lý; reorder populates cart; confirm receipt updates status.",High,WEB-04,Phụ_Lục_01,"32|33|34|36"
Shopper-WebApp,WEB-06,Address book,"CRUD address book with max five entries and default flag. [Source: Phụ_Lục_01 r37 cDESCRIPTION]","Cannot add more than five addresses; default address required; edits persist.",High,WEB-04,Phụ_Lục_01,37
Shopper-WebApp,WEB-07,Voucher wallet,"Display vouchers received/gifted/converted for selection during cart/checkout. [Source: Phụ_Lục_01 r38 cDESCRIPTION]","Voucher list shows type and validity; invalid/expired vouchers blocked from selection.",Medium,WEB-04,Phụ_Lục_01,38
Shopper-WebApp,WEB-08,Loyalty points,"Show points balance (1000 VND = 1 điểm) and available conversions to vouchers. [Source: Phụ_Lục_01 r39 cDESCRIPTION][Source: Phụ_Lục_01 r230 cDESCRIPTION]","Points update after successful order; conversion issues voucher with configured value.",Medium,WEB-05,Phụ_Lục_01,"39|230"
Shopper-WebApp,WEB-09,Product catalog & search,"Implement category browsing, product groups, product list with infinite scroll/sorting, detail page, and search suggestions. [Source: Phụ_Lục_01 r44 cDESCRIPTION][Source: Phụ_Lục_01 r46 cDESCRIPTION][Source: Phụ_Lục_01 r47 cDESCRIPTION][Source: Phụ_Lục_01 r48 cDESCRIPTION]","Category drilldown works; list loads more on scroll; price sort toggles; detail shows variants, shipping estimate, approvals for comments.",High,WEB-01,Phụ_Lục_01,"44|46|47|48"
Shopper-WebApp,WEB-10,Cart operations,"Cart table with selection, quantity/variant edit, subtotal for selected, voucher inputs (discount/shipping), and proceed to checkout. [Source: Phụ_Lục_01 r50 cDESCRIPTION][Source: Phụ_Lục_01 r53 cDESCRIPTION][Source: Phụ_Lục_01 r54 cDESCRIPTION]","Quantity changes recalc subtotal; only two voucher types accepted; checkout blocked if nothing selected.",High,WEB-09,Phụ_Lục_01,"50|53|54"
